CourseId,Title,Subject,Number,Description,seeAlso,Topic,Outline
26,Financial and Managerial Accounting,ACCO,220,"This course provides an introduction to accounting principles underlying the preparation of financial reports with an emphasis on the relationship between accounting information and production decisions. It examines the relationship between costs, production volume, and profit, as well as the practical benefits of standard costs for planning and control purposes. The role of accounting information in various manufacturing decisions is also highlighted.

NOTE: This course would be useful to Engineering students.
NOTE: JMSB students may not take this course for credit.
NOTE: Students who have received credit for ACCO 230, 240 may not take this course for credit.

",,,
27,Introduction to Financial Accounting,ACCO,230,"This course provides an introduction to accounting concepts underlying financial statements of organizations. It focuses on the analysis, measurement, and reporting of business transactions to users of financial statements. It also examines the uses and limitations of accounting information for investment and credit decisions.

NOTE: JMSB students may not take this course for credit.
""NOTE: Students who receive a grade of """"C"""" or better may be exempt from COMM 217.""
NOTE: Students who have received credit for ACCO 220 may not take this course for credit.

",,,
28,Introduction to Managerial Accounting,ACCO,240,"This course examines the role of accounting information for decision making, and focuses on concepts and techniques used in planning operations, controlling activities, and evaluating managerial performance. New developments are addressed with a focus on contemporary business issues and real-world applicability of management accounting concepts and techniques.
Prerequisite: ACCO 230.
NOTE: JMSB students may not take this course for credit.
NOTE: Students who receive a passing grade may be exempt from COMM 305.
NOTE: Students who have received credit for ACCO 220 may not take this course for credit.

",,,
35,Financial Reporting I,ACCO,310,"Intensive study is made of the theory and practice of external financial reporting by business organizations, focusing on concepts and procedures underlying the measurement of assets and the determination of income.
Prerequisite: COMM 305 previously or concurrently.




",,,
43,Financial Reporting II,ACCO,320,"This course continues the intensive study of ACCO 310, with particular emphasis on accounting for liabilities, shareholders' equity, and other related topics such as earnings per share, pension accounting, and accounting for income taxes.
Prerequisite: ACCO 310.




",,,
53,Cost and Management Accounting,ACCO,330,"This course provides an examination of the techniques, systems, and procedures applicable to the managerial use of accounting information for planning, decision-making, and control. Topics include cost accumulation and allocation, product and process costing, flexible budgeting and variance analysis, evaluation of managerial performance, and transfer pricing.
Prerequisite: COMM 305.




",,,
55,Income Taxation in Canada,ACCO,340,"This course provides core knowledge regarding the federal income tax structure and the Canadian goods and services tax system. It examines the taxation of employment, business, property income, capital gains and other sources of income for an individual.
Prerequisite: COMM 217.




",,,
57,Accounting and Information Technology,ACCO,350,"This course examines the role of computerized accounting information systems (AIS) in organizations. Students learn how to justify, design, and utilize AIS to provide pertinent information to managers for decision making. The course helps to identify appropriate usage of information technology in specific accounting contexts. Topics include e-business, computer fraud, information systems security and controls, systems analysis, and management of information technology.
Prerequisite: COMM 226 or 301, COMM 305",,,
58,Analysis of Financial Statements,ACCO,355,"This course explores the usefulness and limitations of financial statements for investment and credit decisions. It focuses on the interpretation of the information contained in financial statements which reflect the economic characteristics of the firm and its strategic business decisions. Instruments and techniques for financial statement analysis are discussed and applied to case studies and actual companies.
Prerequisite: COMM 305, 308.

NOTE: This course would be useful for students in Finance and Management.",,,
59,U.S. Federal Taxation,ACCO,365,"This course familiarizes the student with individual and corporate taxation in the U.S. The use of professional judgment in the application of tax planning recommendations is also addressed in this course.
Prerequisite: COMM 217 or ACCO 230.
NOTE: Students who have received credit for this topic under an ACCO 470 number may not take this course for credit.



",,,
60,Accounting Theory,ACCO,400,"This course examines the theoretical foundations of the contemporary approach to financial reporting, and the political and pragmatic considerations in the development of the conceptual framework underlying current accounting standards. Alternative theories of accounting are discussed and controversial areas are emphasized.
Prerequisite: ACCO 320.




",,,
86,Financial Reporting III,ACCO,420,"This course examines the theory and practice of accounting for intercorporate investments, business combinations, consolidation of financial statements, and foreign currency transactions and operations.
Prerequisite: ACCO 320.




",,,
89,FINANCIAL REPORTING IV,ACCO,425,Please see UGRD Calendar,,,
92,Advanced Management Accounting,ACCO,430,"The course examines the integrative and interdisciplinary role of management accounting and its contribution to the complex management process. The course focuses on cases that deal with strategic issues in management accounting and management's need for both quantitative and qualitative information for planning, control, performance evaluation and decision making.
Prerequisite: ACCO 330.




",,,
97,STRAT ACCTNG CASE ANALYSIS,ACCO,435,Please see UGRD Calendar,,,
98,Advanced Taxation,ACCO,440,"This course provides core knowledge regarding the federal taxation of corporations, partnerships, and trusts. It introduces analytical skills needed to make decisions regarding various business transfers, combinations, incorporation and estate planning issues for corporations and shareholders.
Prerequisite: ACCO 340.




",,,
104,Assurance Services,ACCO,450,"This course examines the concepts and current standards of various assurance services, especially the audit of financial statements. It emphasizes the audit process and the role of the public accountant in expressing an opinion on the financial statements of an organization.
Prerequisite: ACCO 320 previously or concurrently.




",,,
106,Fraud Prevention and Investigation,ACCO,455,"This course examines the principles of and methodology used in fraud detection and deterrence. Topics covered may include skimming, cash larceny, cheque tampering, billing, payroll and expense reimbursement schemes, non-cash misappropriations, corruption, fraudulent financial statements, conducting investigations and interviewing witnesses. This course may also examine auditors' legal responsibilities towards fraud, the evaluation of internal controls and important pieces of legislation such as the Sarbanes-Oxley Act and the Criminal Code. Finally, the ethical aspects associated with fraud are discussed. Class sessions consist of lectures, real-life fraud case discussions and the presentation of DVDs from the Association of Certified Fraud Examiners.
Prerequisite: COMM 217, 315.
NOTE: Students who have received credit for this topic under an ACCO 470 number may not take this course for credit.



",,,
109,Advanced Assurance Services,ACCO,465,"This course covers important topics and concepts in auditing and assurance services. It builds on audit principles covered in previous courses and introduces specialized and advanced topics that are of particular importance to professional accountants. In covering topics and their application, the course focuses on decision-making processes followed by auditors. The course embraces the requirements of the CA Student Competency Map for assurance and the CGA Modules and Readings AU2.
Prerequisite: ACCO 320, 360; or ACCO 450.
NOTE: Students who have received credit for this topic under an ACCO 470 number may not take this course for credit.",,,
173,BUSINESS ADVISORY SERVICES,ACCO,631,Please see GRAD Calendar,,,
174,INTEGRATED APPROACH TO AUDIT,ACCO,635,Please see GRAD Calendar,,,
178,FINANCIAL REPORTING:COMP APP,ACCO,651,Please see GRAD Calendar,,,
182,MANAGEMENT ACCOUNTING II,ACCO,672,Please see GRAD Calendar,,,
185,FINAN L ACCO G/REPORT G III,ACCO,681,Please see GRAD Calendar,,,
186,COMPREHENSIVE CASE ANALYSIS,ACCO,682,Please see GRAD Calendar,,,
187,CASE ANALY/INTEG/EXAM PREP,ACCO,685,Please see GRAD Calendar,,,
189,ADV EXAM WRITING TECHNIQUES,ACCO,690B,Please see GRAD Calendar,,,
190,BUSINESS VALUATIONS,ACCO,691,Please see GRAD Calendar,,,
191,SEMINAR IN SPECIAL TOPICS,ACCO,695,Please see GRAD Calendar,,,
235,Mathematics of Finance,ACTU,256,"Measurement of interest; annuities and perpetuities; amortization and sinking funds; rates of return; bonds and related securities; life insurance.
Prerequisite: MATH 264 previously or concurrently; and permission of the Department.
NOTE: Students who have received credit for MATH 326 may not take this course for credit.
NOTE: Only three credits will be awarded from ACTU 256; MAST 335.


",,,
236,Actuarial Mathematics I,ACTU,257,"Measurement of mortality; pure endowments; life insurance; net single premiums; life annuities; net annual premiums; special topics.
Prerequisite: ACTU 256.
NOTE: Students who have received credit for MATH 327 may not take this course for credit.



",,,
237,Actuarial Mathematics Lab I,ACTU,286,"This lab features problem-solving sessions for the professional examination on financial mathematics of the Society of Actuaries and the Casualty Actuarial Society.

NOTE: Students who have received credit for MATH 229 may not take this course for credit.



",,,
238,Actuarial Mathematics II,ACTU,357,"Net level premium reserves; multiple life functions; multiple decrements, the expense factor; special topics.
Prerequisite: ACTU 257.
NOTE: Students who have received credit for MATH 427 may not take this course for credit.



",,,
239,Actuarial Mathematics Lab II,ACTU,386,"This lab will feature the use of programming languages and software applications.

NOTE: Students who have received credit for MATH 232 may not take this course for credit.



",,,
241,Risk Theory,ACTU,457,"Applications of contingency theory in health insurance, individual and collective risk theory, ruin theory.

NOTE: Students who have received credit for MATH 428 may not take this course for credit.",,,
242,Credibility Theory,ACTU,458,"Credibility approach to inference for heterogeneous data; classical, regression and Bayesian models; illustrations with insurance data.
Prerequisite: ACTU 457; STAT 349 previously or concurrently.




",,,
243,Loss Distributions,ACTU,459,"Probability model fitting to loss data; estimation and testing under variety of procedures and sampling designs.
Prerequisite: ACTU 457; STAT 360.




",,,
244,Actuarial Mathematics Lab III,ACTU,486,"This lab will be a workshop designed to prepare students for the Actuarial Models examination of the Society of Actuaries and the Casualty Actuarial Society.

NOTE: Students who have received credit for MATH 429 may not take this course for credit.



",,,
245,Honours Project in Actuarial Mathematics,ACTU,493,"Specific topics for this course, and prerequisites relevant in each case, will be stated in the Undergraduate Class Schedule.





",,,
246,Concepts and Principles of Adult Education,ADED,201,"This course consists of an overview of the field of adult education as a field of study with emphasis given to its philosophy, objectives, historical development, and the nature of adult learners. It also examines adult education as a field of practice with emphasis given to methods, techniques, roles, and competencies. This course stresses active student participation and self-directedness.

NOTE: Students who have received credit for ADED 200 may not take this course for credit.



",,,
247,The Scope and Nature of Adult Education Programs,ADED,202,"This course is designed to help students develop an understanding of the scope and nature of adult education programs. Emphasis is placed on existing programs, and institutions and agencies providing them. The course stresses active student participation and self-directedness.

NOTE: Students who have received credit for ADED 200 may not take this course for credit.



",,,
248,Adults as Learners,ADED,220,"This course examines the unique physiological, psychological, and sociological characteristics of adults, their influence on adult learning and development, and their implications for educational intervention. Attention is given to changes which occur at various stages of the adult life cycle, and particularly to the dimensions which affect the adult's self-concept and orientation to learning, the motivations, needs, and interests which cause adults to participate in educational activities.





",,,
253,Design of Adult Learning Projects,ADED,344,"The purpose of this course is to assist participants in developing a clear working concept of various models for planning and designing adult learning projects. To facilitate this understanding, the different steps of the process are closely examined and discussed. Participants are given an opportunity to design and conduct a learning activity in the area of subject matter speciality. A systems approach, including methods for evaluating the design of the learning project is emphasized.

NOTE: Students who have received credit for ADED 340 or 341 or 343 may not take this course for credit.



",,,
254,Evaluating Adult Learning Projects,ADED,345,"The purpose of this course is to assist participants in developing a clear working concept of various models for assessing the effectiveness of adult learning projects. The course emphasizes a systematic approach to evaluation, techniques for collecting information and providing feedback to program operation and impact. Participants are given the opportunity to conduct an evaluation of an adult learning project in the area of subject matter speciality.

NOTE: Students who have received credit for ADED 342 or 343 may not take this course for credit.



",,,
257,Diversity in Adults,ADED,403,"It is the role of adult educators (agents of change) to confront issues of diversity and to challenge the forces of racism, sexism, classism, homophobia, and discrimination. By integrating notions of education, and by reflecting on the roles of practitioners, this course develops strategies to resist structural inequality and oppression.

NOTE: Students who have received credit for this topic under an ADED 498 number may not take this course for credit.



",,,
260,ISSUES IN THE PRACTICE,ADED,440,Please see UGRD Calendar,,,
273,Integrative Internship I,ADED,496,"This internship is designed to assist individual students in achieving a synthesis of their own experiential learning in light of acquired knowledge, skills, values, and attitudes through the clarification of personal aims and the philosophy of adult education. Students will normally enrol in this internship near the end of their program.
Prerequisite: ADED 201; ADED 202 and 15 credits in the program.
NOTE: Students who have received credit for ADED 495 may not take this course for credit.
NOTE: Students will normally enrol in ADED 496 near the end of their program.


",,,
274,Integrative Internship II,ADED,497,"This internship is designed to extend the personal aims and philosophy of adult education arrived at in Integrative Internship I, and engage in a special project in an adult education facility where supervision is provided by the host institution.
Prerequisite: Successful completion of ADED 496.
NOTE: Students who have received credit for ADED 495 may not take this course for credit.",,,
277,ADVANCED TOPICS IN ADULT EDUCATION,ADED,498C,,,,
316,ADED-QUEBEC AS A FIELD STUDY,ADIP,500,Please see GRAD Calendar,,,
317,PHIL ISSUES IN EDUC RESEARCH,ADIP,501,Please see GRAD Calendar,,,
