CourseId,Identifier,Event,Topic
40355,1,LAB,Python_(programming_language)
40355,2,LAB,Knowledge_Graph
40355,3,LAB,RDF_Schema
40355,4,LAB,SPARQL
40355,5,LAB,Linked_data
40355,6,LAB,Vector_space_model
40355,7,LAB,Unsupervised_learning
40355,8,LAB,K-nearest_neighbors_algorithm
40355,9,LAB,Intelligent_agent
40355,10,LAB,Natural_language_processing
40355,11,LAB,Artificial_neural_network
40355,12,LAB,Deep_learning
40355,13,LAB,Agent_architecture
40353,1,LAB,Python_(programming_language)
40353,2,LAB,State_space_search
40353,3,LAB,Adversarial_search
40353,4,LAB,Naive_Bayes_classifier
40353,5,LAB,Machine_learning
40353,6,LAB,Artificial_neural_network
40353,7,LAB,Deep_learning
40353,8,LAB,Knowledge_Graph
40353,9,LAB,Intelligent_agent
40353,10,LAB,Natural_language_processing
40353,11,LAB,Vector_space_model
40353,12,LAB,Deep_learning
40353,13,LAB,Deep_learning
