 "courseName" , "lectureID" , "resource" ,
 "APPLIED ARTIFICIAL INTELLIGENCE" , "1" , "http://localhost:3030/University/COMP6721/Lectures/slides01.pdf" ,
 "INTELLIGENT SYSTEMS" , "1" , "http://localhost:3030/University/COMP6741/Lectures/slides01.pdf" ,
 "APPLIED ARTIFICIAL INTELLIGENCE" , "10" , "http://localhost:3030/University/COMP6721/Lectures/slides10.pdf" ,
 "APPLIED ARTIFICIAL INTELLIGENCE" , "11" , "http://localhost:3030/University/COMP6721/Lectures/slides11.pdf" ,
 "INTELLIGENT SYSTEMS" , "2" , "http://localhost:3030/University/COMP6741/Lectures/slides02.pdf" ,
 "APPLIED ARTIFICIAL INTELLIGENCE" , "4" , "http://localhost:3030/University/COMP6721/Lectures/slides04.pdf" ,
 "APPLIED ARTIFICIAL INTELLIGENCE" , "5" , "http://localhost:3030/University/COMP6721/Lectures/slides05.pdf" ,
 "INTELLIGENT SYSTEMS" , "6" , "http://localhost:3030/University/COMP6741/Lectures/slides06.pdf" ,
 "INTELLIGENT SYSTEMS" , "7" , "http://localhost:3030/University/COMP6741/Lectures/slides07.pdf" ,
 "APPLIED ARTIFICIAL INTELLIGENCE" , "7" , "http://localhost:3030/University/COMP6721/Lectures/slides07.pdf" ,
 "INTELLIGENT SYSTEMS" , "8" , "http://localhost:3030/University/COMP6741/Lectures/slides08.pdf" ,
 "INTELLIGENT SYSTEMS" , "9" , "http://localhost:3030/University/COMP6741/Lectures/slides09.pdf" ,
