" ""course"" "," ""lecture"" "," ""topic"" "
" ""INTELLIGENT SYSTEMS"" "," ""1"" "," ""http://dbpedia.org/resource/Intelligent_Systems"" "
" ""INTELLIGENT SYSTEMS"" "," ""10"" "," ""http://dbpedia.org/resource/Artificial_neural_network"" "
" ""INTELLIGENT SYSTEMS"" "," ""11"" "," ""http://dbpedia.org/resource/Deep_learning"" "
" ""INTELLIGENT SYSTEMS"" "," ""12"" "," ""http://dbpedia.org/resource/Agent_architecture"" "
" ""INTELLIGENT SYSTEMS"" "," ""13"" "," ""http://dbpedia.org/resource/Intelligent_Systems"" "
" ""INTELLIGENT SYSTEMS"" "," ""2"" "," ""http://dbpedia.org/resource/Knowledge_Graph"" "
" ""INTELLIGENT SYSTEMS"" "," ""3"" "," ""http://dbpedia.org/resource/RDF_Schema"" "
" ""INTELLIGENT SYSTEMS"" "," ""4"" "," ""http://dbpedia.org/resource/SPARQL"" "
" ""INTELLIGENT SYSTEMS"" "," ""5"" "," ""http://dbpedia.org/resource/Linked_data"" "
" ""INTELLIGENT SYSTEMS"" "," ""6"" "," ""http://dbpedia.org/resource/Recommender_system"" "
" ""INTELLIGENT SYSTEMS"" "," ""7"" "," ""http://dbpedia.org/resource/Machine_learning"" "
" ""INTELLIGENT SYSTEMS"" "," ""8"" "," ""http://dbpedia.org/resource/Intelligent_agent"" "
" ""INTELLIGENT SYSTEMS"" "," ""9"" "," ""http://dbpedia.org/resource/Natural_language_processing"" "
