" ""number"" "," ""source"" "
" ""1"" "," ""https://plato.stanford.edu/entries/artificial-intelligence/"" "
" ""1"" "," ""https://en.wikipedia.org/wiki/Watson_(computer)"" "
" ""1"" "," ""https://en.wikipedia.org/wiki/ELIZA"" "
" ""2"" "," ""https://concordiauniversity.on.worldcat.org/oclc/897466408"" "
" ""3"" "," ""https://concordiauniversity.on.worldcat.org/oclc/897466408"" "
" ""4"" "," ""https://concordiauniversity.on.worldcat.org/oclc/897466408"" "
" ""5"" "," ""https://concordiauniversity.on.worldcat.org/oclc/897466408"" "
" ""6"" "," ""https://concordiauniversity.on.worldcat.org/oclc/314121652"" "
" ""6"" "," ""http://informationretrieval.org/"" "
" ""7"" "," ""https://concordiauniversity.on.worldcat.org/oclc/960211579"" "
" ""8"" "," ""https://concordiauniversity.on.worldcat.org/oclc/1102387045"" "
