 "number" , "content_type" , "source" ,
 "1" , "WORKSHEET" , "http://localhost:3030/University/COMP6741/Worksheets/worksheet01.pdf" ,
 "1" , "OTHER" , "http://www.aaai.org/Magazine/Watson/watson.php" ,
 "1" , "READING" , "https://en.wikipedia.org/wiki/Watson_(computer)" ,
 "1" , "SLIDES" , "http://localhost:3030/University/COMP6741/Lectures/slides01.pdf" ,
 "1" , "READING" , "https://plato.stanford.edu/entries/artificial-intelligence/" ,
 "1" , "OTHER" , "https://chatbotslife.com/ultimate-guide-to-leveraging-nlp-machine-learning-for-you-chatbot-531ff2dd870c" ,
 "1" , "OTHER" , "https://venturebeat.com/2017/06/26/bot-analytics-platform-releases-new-chatbot-landscape/" ,
 "1" , "READING" , "https://en.wikipedia.org/wiki/ELIZA" ,
 "10" , "SLIDES" , "http://localhost:3030/University/COMP6741/Lectures/slides10.pdf" ,
 "10" , "WORKSHEET" , "http://localhost:3030/University/COMP6741/Worksheets/worksheet10.pdf" ,
 "11" , "SLIDES" , "http://localhost:3030/University/COMP6741/Lectures/slides11.pdf" ,
 "11" , "WORKSHEET" , "http://localhost:3030/University/COMP6741/Worksheets/worksheet11.pdf" ,
 "12" , "SLIDES" , "http://localhost:3030/University/COMP6741/Lectures/slides12.pdf" ,
 "12" , "WORKSHEET" , "http://localhost:3030/University/COMP6741/Worksheets/worksheet12.pdf" ,
 "13" , "WORKSHEET" , "http://localhost:3030/University/COMP6741/Worksheets/worksheet13.pdf" ,
 "13" , "SLIDES" , "http://localhost:3030/University/COMP6741/Lectures/slides13.pdf" ,
 "2" , "OTHER" , "https://encore.concordia.ca/iii/encore/record/C__Rb2591108?lang=eng" ,
 "2" , "WORKSHEET" , "http://localhost:3030/University/COMP6741/Worksheets/worksheet02.pdf" ,
 "2" , "OTHER" , "http://www.w3.org/People/Ivan/CorePresentations/RDFTutorial/" ,
 "2" , "SLIDES" , "http://localhost:3030/University/COMP6741/Lectures/slides02.pdf" ,
 "2" , "OTHER" , "http://www.w3.org/TR/rdf11-primer/" ,
 "2" , "OTHER" , "https://www.youtube.com/watch?v=2ZzGMzitNgo" ,
 "2" , "READING" , "https://concordiauniversity.on.worldcat.org/oclc/897466408" ,
 "3" , "OTHER" , "http://www.w3.org/TR/rdf11-primer/" ,
 "3" , "READING" , "https://concordiauniversity.on.worldcat.org/oclc/897466408" ,
 "3" , "SLIDES" , "http://localhost:3030/University/COMP6741/Lectures/slides03.pdf" ,
 "3" , "WORKSHEET" , "http://localhost:3030/University/COMP6741/Worksheets/worksheet03.pdf" ,
 "3" , "OTHER" , "https://mercury.concordia.ca/record=b2680281" ,
 "3" , "OTHER" , "http://www.w3.org/People/Ivan/CorePresentations/RDFTutorial/" ,
 "4" , "OTHER" , "https://www.w3.org/TR/sparql11-overview/" ,
 "4" , "OTHER" , "http://www.w3.org/People/Ivan/CorePresentations/RDFTutorial/" ,
 "4" , "WORKSHEET" , "http://localhost:3030/University/COMP6741/Worksheets/worksheet04.pdf" ,
 "4" , "READING" , "https://concordiauniversity.on.worldcat.org/oclc/897466408" ,
 "4" , "OTHER" , "https://concordiauniversity.on.worldcat.org/oclc/853679890" ,
 "4" , "OTHER" , "https://concordiauniversity.on.worldcat.org/oclc/769756125" ,
 "4" , "SLIDES" , "http://localhost:3030/University/COMP6741/Lectures/slides04.pdf" ,
